RSRP,RSRQ,Azimuth,Dis_Serving,RS SINR Carrier 1
-84.0,-12.89999962,181.9179209,3.606810406,2.0
-83.19999695,-13.30000019,180.7264818,3.575389897,1.100000024
-84.5,-14.60000038,180.462392,3.568945152,-2.0
-86.59999847,-16.39999962,179.1788264,3.586062087,-4.5
-87.69999695,-14.69999981,179.0153316,3.609206247,0.5
-87.19999695,-16.89999962,178.9761406,3.578625987,-2.599999905
-87.69999695,-17.60000038,179.5487727,3.491455471,-4.0
-85.80000305,-15.5,179.6862034,3.469869694,-1.299999952
-91.19999695,-17.79999924,179.9611759,3.427486549,-6.800000191
-93.30000305,-19.39999962,180.0282463,3.418032385,-4.800000191
-87.19999695,-15.0,61.40385973,0.356057294,1.100000024
-84.59999847,-16.0,55.84541603,0.387992996,-1.799999952
-84.40000153,-16.0,55.73804646,0.410771569,4.300000191
-84.0,-15.19999981,56.35407672,0.433608677,4.300000191
-84.59999847,-15.69999981,56.99032845,0.454584503,1.299999952
-85.5,-15.39999962,57.79931288,0.483464719,0.300000012
-85.40000153,-15.69999981,58.37554403,0.500434804,1.399999976
-84.80000305,-15.80000019,59.00581815,0.534683765,3.0
-84.5,-15.80000019,59.85867476,0.583059667,2.099999905
-83.80000305,-14.5,60.38474564,0.612465918,2.200000048
-82.5,-13.19999981,60.59105171,0.627206711,1.700000048
-81.69999695,-14.30000019,60.83718007,0.644544772,3.299999952
-82.19999695,-15.0,60.82141012,0.64889388,2.0
-80.19999695,-14.5,60.8061508,0.65455327,3.0
-82.5,-13.0,60.91212218,0.663940957,2.799999952
-82.90000153,-13.30000019,61.1443648,0.67781609,1.100000024
-86.0,-13.89999962,61.36545234,0.69374293,1.700000048
-86.09999847,-13.39999962,61.56045383,0.708882701,1.399999976
-95.69999695,-16.20000076,61.73453788,0.723568385,-3.0
-86.5,-15.19999981,61.93287344,0.736912743,-1.899999976
-91.40000153,-17.0,62.0646381,0.750300378,-2.900000095
-93.30000305,-16.5,62.24142725,0.764359257,-4.599999905
-91.30000305,-14.0,62.43684772,0.778994701,4.699999809
-91.09999847,-13.60000038,62.6350319,0.795642973,3.099999905
-92.90000153,-14.60000038,62.82322215,0.814157763,2.5
-96.69999695,-18.39999962,62.99717279,0.832780583,5.300000191
-88.80000305,-10.69999981,27.36817764,0.347234855,9.199999809
-94.5,-10.39999962,29.25009861,0.35965196,6.5
-104.6999969,-17.60000038,30.74204703,0.370711865,-4.5
-105.0,-18.89999962,32.1056841,0.382327925,-6.199999809
-101.6999969,-18.60000038,358.5308176,1.06672896,-6.599999905
-101.6999969,-18.29999924,359.323979,1.071881401,-3.700000048
-103.3000031,-16.60000038,359.7730997,1.074779671,-3.700000048
-102.9000015,-17.10000038,359.9788861,1.076126782,-4.699999809
-99.59999847,-17.89999962,0.169970727,1.077531395,-2.299999952
-95.19999695,-15.89999962,36.60633567,0.427816941,-0.899999976
-100.1999969,-19.29999924,37.18637613,0.43684825,-7.400000095
-99.19999695,-18.0,38.01154416,0.446465382,-5.400000095
-97.90000153,-20.20000076,38.92193891,0.458086356,-4.699999809
-99.19999695,-19.0,39.71915373,0.469416341,-5.199999809
-97.09999847,-14.69999981,40.50728876,0.481748961,-0.300000012
-97.30000305,-15.10000038,41.35890938,0.494847012,-1.399999976
-101.0999985,-17.5,42.14770088,0.507464877,-4.400000095
-100.5999985,-17.89999962,42.79937374,0.519340572,-2.099999905
-94.90000153,-12.69999981,217.5177458,0.310393068,0.600000024
-96.90000153,-14.19999981,216.0603144,0.299320302,-1.600000024
-94.30000305,-11.39999962,214.3929578,0.288919977,3.200000048
-95.19999695,-12.0,212.7834226,0.283067749,2.900000095
-90.40000153,-10.5,211.8489668,0.282087984,5.199999809
-90.5,-10.80000019,210.7053302,0.28307752,6.400000095
-88.19999695,-9.5,208.9693182,0.285562859,6.400000095
-89.0,-9.699999809,207.1357822,0.290223808,7.400000095
-91.69999695,-9.899999619,205.2340304,0.296504578,6.099999905
-93.90000153,-10.69999981,203.3036997,0.305811076,4.900000095
-96.5,-10.5,202.2803897,0.31657826,4.400000095
-96.19999695,-10.19999981,202.2426157,0.327141485,4.0
-96.5,-10.19999981,202.9800513,0.337310889,4.800000191
-97.59999847,-11.0,204.3465819,0.348495052,3.200000048
-96.90000153,-12.69999981,205.6311283,0.358804392,2.599999905
-95.69999695,-10.89999962,206.9103622,0.367462865,3.900000095
-100.9000015,-14.80000019,207.8388737,0.373910384,-1.799999952
-100.5,-15.69999981,208.5494962,0.380384482,-2.200000048
-101.5999985,-14.5,209.1033436,0.387530636,0.100000001
-101.1999969,-14.39999962,209.241436,0.39545622,-0.300000012
-98.90000153,-13.69999981,209.0913265,0.403953652,2.900000095
-95.5,-10.89999962,208.7255992,0.41106967,4.400000095
-89.09999847,-10.10000038,208.0920187,0.418231634,7.599999905
-90.80000305,-12.19999981,207.2909525,0.423882524,4.900000095
-86.90000153,-11.30000019,206.502585,0.429054134,5.900000095
-85.80000305,-8.899999619,205.7169378,0.434653154,6.5
-85.5,-10.39999962,204.972108,0.440995848,5.5
-88.80000305,-10.10000038,204.2008336,0.447534808,4.5
-91.5,-14.10000038,203.3962073,0.455531478,1.100000024
-96.09999847,-21.20000076,202.5607687,0.464166179,2.0
-80.5,-13.30000019,63.11104255,0.425882042,5.699999809
-74.19999695,-11.30000019,64.74892654,0.425735118,6.900000095
-74.5,-9.5,66.41965841,0.425320501,6.699999809
-70.90000153,-11.0,68.16934318,0.425028008,7.400000095
-75.0,-12.10000038,69.98889593,0.424567171,4.300000191
-75.30000305,-13.0,71.94239575,0.423020896,-0.400000006
-80.59999847,-13.0,73.81488403,0.422436587,1.399999976
-88.40000153,-12.89999962,75.73139387,0.422166183,1.399999976
-82.59999847,-11.0,77.71545098,0.423353713,4.199999809
-75.30000305,-11.19999981,79.82789509,0.425153891,4.5
-74.80000305,-10.5,81.8750343,0.427551771,6.199999809
-76.30000305,-12.5,83.94104393,0.430134116,2.599999905
-79.80000305,-12.10000038,85.99912551,0.432985311,5.699999809
-84.0,-12.89999962,87.9803384,0.436601335,5.400000095
-80.19999695,-12.19999981,89.90072646,0.440847244,6.800000191
-76.0,-11.80000019,91.68282434,0.445055416,3.5
-85.90000153,-11.0,94.13357687,0.447850637,6.5
-89.30000305,-11.0,94.92243097,0.447256165,6.0
-92.19999695,-11.19999981,95.56895195,0.448119198,3.099999905
-96.80000305,-11.80000019,96.25774042,0.450210438,2.5
-101.1999969,-15.5,96.9708638,0.454352775,-3.099999905
-102.0999985,-15.19999981,97.60443958,0.459108489,-2.900000095
-101.5999985,-15.60000038,98.3414273,0.462706151,-3.099999905
-103.4000015,-15.30000019,99.17285203,0.466667774,-1.600000024
-106.4000015,-20.39999962,100.1198292,0.471284617,-5.5
-101.3000031,-14.30000019,283.0632974,0.323597392,-0.899999976
-99.0,-13.10000038,281.630867,0.316090967,1.0
-95.40000153,-13.19999981,280.7999367,0.306938153,2.099999905
-93.5,-12.60000038,281.5853826,0.275069205,2.599999905
-91.69999695,-12.89999962,281.7301864,0.255599708,3.299999952
-91.19999695,-13.30000019,283.4972043,0.201899074,1.700000048
-92.40000153,-14.10000038,286.39974,0.17698731,0.899999976
-93.09999847,-13.19999981,304.3984105,0.123449253,2.900000095
-93.69999695,-11.89999962,312.2963366,0.128970262,4.745367374
-93.90000153,-12.0,318.6193586,0.162385551,5.699999809
-95.09999847,-12.0,321.3991891,0.186212162,5.300000191
-97.30000305,-12.89999962,325.7620981,0.24218071,1.299999952
-97.09999847,-12.60000038,326.8212825,0.262681057,4.745367374
-95.80000305,-11.69999981,328.3221307,0.291930822,5.599999905
-96.0,-12.10000038,331.2885016,0.327383926,4.745367374
-95.5,-13.10000038,331.212098,0.327444631,5.099999905
-94.90000153,-13.0,331.3015002,0.327615807,4.699999809
